timestamp,open,high,low,close,volume,trades,funding_rate,open_interest
1754776800000,0.17816,0.17822,0.17647,0.17685,100159.0,93,0.0,0.0
1754780400000,0.17676,0.17677,0.17429,0.17429,81434.0,188,0.0,0.0
1754784000000,0.1747,0.17648,0.17376,0.17639,206490.0,132,0.0,0.0
1754787600000,0.17629,0.17652,0.17519,0.17602,54473.0,111,0.0,0.0
1754791200000,0.17599,0.17744,0.17571,0.17703,160839.0,141,0.0,0.0
1754794800000,0.17723,0.17799,0.17587,0.17697,139393.0,136,0.0,0.0
1754798400000,0.17691,0.17864,0.17657,0.17841,139033.0,263,0.0,0.0
1754802000000,0.17847,0.1786,0.17467,0.17595,604934.0,965,0.0,0.0
1754805600000,0.17619,0.17662,0.17398,0.1747,482745.0,446,0.0,0.0
1754809200000,0.17559,0.17577,0.17129,0.17214,599043.0,441,0.0,0.0
1754812800000,0.17234,0.1739,0.17109,0.17335,279710.0,394,0.0,0.0
1754816400000,0.17374,0.17501,0.1734,0.17409,75654.0,300,0.0,0.0
1754820000000,0.17422,0.17463,0.17201,0.17218,466225.0,464,0.0,0.0
1754823600000,0.17291,0.17451,0.17176,0.17401,147397.0,320,0.0,0.0
1754827200000,0.1742,0.17488,0.17319,0.17455,122607.0,313,0.0,0.0
1754830800000,0.17472,0.17563,0.17322,0.17322,262876.0,505,0.0,0.0
1754834400000,0.17329,0.17731,0.17227,0.17642,340176.0,470,0.0,0.0
1754838000000,0.17665,0.17954,0.1761,0.17926,457824.0,435,0.0,0.0
1754841600000,0.17952,0.17978,0.17737,0.17936,353669.0,542,0.0,0.0
1754845200000,0.17938,0.1798,0.17753,0.17931,283728.0,608,0.0,0.0
1754848800000,0.17952,0.17989,0.17851,0.17952,201959.0,561,0.0,0.0
1754852400000,0.17972,0.1828,0.17924,0.1808,1865327.0,803,0.0,0.0
1754856000000,0.18074,0.18114,0.17799,0.17799,348969.0,451,0.0,0.0
1754859600000,0.17851,0.17942,0.17616,0.17816,206397.0,304,0.0,0.0
1754863200000,0.17867,0.17921,0.17718,0.17896,206186.0,305,0.0,0.0
1754866800000,0.17927,0.18,0.17868,0.17983,102860.0,302,0.0,0.0
1754870400000,0.17988,0.18096,0.17925,0.1802,116118.0,341,0.0,0.0
1754874000000,0.18009,0.18346,0.17973,0.18338,206128.0,466,0.0,0.0
1754877600000,0.18338,0.18492,0.1823,0.1834,249302.0,499,0.0,0.0
1754881200000,0.18346,0.18458,0.18119,0.18271,731461.0,633,0.0,0.0
1754884800000,0.18293,0.18452,0.18177,0.1832,302019.0,437,0.0,0.0
1754888400000,0.1834,0.185,0.18317,0.18484,138518.0,402,0.0,0.0
1754892000000,0.18516,0.18516,0.18299,0.18463,641743.0,644,0.0,0.0
1754895600000,0.18457,0.18542,0.181,0.18172,677943.0,621,0.0,0.0
1754899200000,0.18154,0.18222,0.18045,0.18189,199875.0,510,0.0,0.0
1754902800000,0.18167,0.18215,0.17924,0.18004,955866.0,751,0.0,0.0
1754906400000,0.17984,0.18051,0.1783,0.17937,434996.0,546,0.0,0.0
1754910000000,0.17916,0.17957,0.17429,0.17492,538127.0,443,0.0,0.0
1754913600000,0.17456,0.17529,0.17191,0.17309,603889.0,377,0.0,0.0
1754917200000,0.17315,0.17719,0.17261,0.17541,1170020.0,665,0.0,0.0
1754920800000,0.17541,0.17728,0.17369,0.17465,262284.0,467,0.0,0.0
1754924400000,0.17433,0.17558,0.17347,0.17554,196369.0,416,0.0,0.0
1754928000000,0.17518,0.17699,0.17393,0.17428,218296.0,465,0.0,0.0
1754931600000,0.17406,0.17441,0.17234,0.17244,333856.0,475,0.0,0.0
1754935200000,0.17234,0.17361,0.17182,0.17336,490065.0,551,0.0,0.0
1754938800000,0.17326,0.17391,0.17142,0.17166,249056.0,449,0.0,0.0
1754942400000,0.17147,0.17317,0.17103,0.173,296254.0,506,0.0,0.0
1754946000000,0.173,0.17457,0.16934,0.17009,1083976.0,771,0.0,0.0
1754949600000,0.16948,0.17113,0.1688,0.17021,379956.0,373,0.0,0.0
1754953200000,0.17,0.17116,0.16972,0.17076,40888.0,273,0.0,0.0
1754956800000,0.17062,0.17237,0.16971,0.17174,230288.0,412,0.0,0.0
1754960400000,0.17167,0.1727,0.1705,0.17237,396718.0,399,0.0,0.0
1754964000000,0.17221,0.17381,0.17154,0.17273,201365.0,346,0.0,0.0
1754967600000,0.17254,0.17271,0.17048,0.17123,82759.0,305,0.0,0.0
1754971200000,0.17073,0.17287,0.1705,0.17221,83796.0,306,0.0,0.0
1754974800000,0.17203,0.17224,0.1692,0.16952,357851.0,667,0.0,0.0
1754978400000,0.16952,0.17029,0.16854,0.16865,869747.0,862,0.0,0.0
1754982000000,0.16874,0.17105,0.16874,0.16914,586999.0,778,0.0,0.0
1754985600000,0.1692,0.1704,0.16827,0.16908,502605.0,614,0.0,0.0
1754989200000,0.16908,0.16959,0.16767,0.16774,163974.0,350,0.0,0.0
1754992800000,0.16779,0.17057,0.16633,0.16702,760651.0,604,0.0,0.0
1754996400000,0.16767,0.16875,0.16633,0.16847,96351.0,323,0.0,0.0
1755000000000,0.1687,0.17575,0.16738,0.17456,601140.0,490,0.0,0.0
1755003600000,0.17475,0.17493,0.1692,0.17036,466200.0,477,0.0,0.0
1755007200000,0.1708,0.17216,0.17014,0.17146,234242.0,503,0.0,0.0
1755010800000,0.17191,0.17575,0.17134,0.17575,535173.0,1835,0.0,0.0
1755014400000,0.1758,0.1771,0.17419,0.1755,778148.0,1419,0.0,0.0
1755018000000,0.17551,0.17764,0.17408,0.17462,471264.0,612,0.0,0.0
1755021600000,0.17462,0.17569,0.17218,0.17266,339605.0,495,0.0,0.0
1755025200000,0.17268,0.17573,0.17249,0.17515,213121.0,534,0.0,0.0
1755028800000,0.17484,0.17893,0.17419,0.17805,929129.0,958,0.0,0.0
1755032400000,0.17812,0.18144,0.1774,0.18139,713373.0,967,0.0,0.0
1755036000000,0.18105,0.18139,0.17835,0.17998,381435.0,950,0.0,0.0
1755039600000,0.18026,0.18161,0.17909,0.17951,827366.0,1114,0.0,0.0
1755043200000,0.17974,0.18061,0.17816,0.17909,715848.0,867,0.0,0.0
1755046800000,0.17939,0.17982,0.1734,0.17366,1371559.0,594,0.0,0.0
1755050400000,0.17365,0.17702,0.17256,0.1764,584404.0,644,0.0,0.0
1755054000000,0.17645,0.17763,0.17454,0.17623,390684.0,417,0.0,0.0
1755057600000,0.17644,0.17699,0.1727,0.17297,135188.0,312,0.0,0.0
1755061200000,0.17298,0.17376,0.17106,0.17144,368407.0,390,0.0,0.0
1755064800000,0.17172,0.17221,0.16856,0.17098,877434.0,444,0.0,0.0
1755068400000,0.17086,0.17411,0.1704,0.17382,274883.0,142,0.0,0.0
1755072000000,0.17377,0.17596,0.1733,0.17578,117782.0,145,0.0,0.0
1755075600000,0.17578,0.17786,0.17513,0.17658,190105.0,162,0.0,0.0
1755079200000,0.1763,0.18009,0.17571,0.18009,175854.0,116,0.0,0.0
1755082800000,0.18066,0.1833,0.1797,0.18159,486905.0,445,0.0,0.0
1755086400000,0.18157,0.18483,0.18121,0.18123,1423519.0,939,0.0,0.0
1755090000000,0.18127,0.18566,0.18121,0.18318,952700.0,389,0.0,0.0
1755093600000,0.18297,0.1852,0.178,0.17881,1348408.0,601,0.0,0.0
